https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20855429,2,2H+K,1 445 € / kk,2024-01-30T09:18:37Z,73,Josafatinkatu 15,Kallio,Helsinki,1942,60.1872,24.9442
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20855346,3,3H+KT,1 227 € / kk,2024-01-30T09:00:08Z,59.5,Juutinraumankatu 10,Jätkäsaari,Helsinki,2014,60.1589,24.9186
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20855304,2,2H+K+S,1 310 € / kk,2024-01-30T08:47:11Z,59.5,Lintulahdenaukio 6,Sörnäinen,Helsinki,1999,60.1846,24.9621
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20853836,2,Kalustamaton 2h + avok,1 475 € / kk,2024-01-29T12:54:16Z,66.5,Hernesaarenkatu 7,Länsisatama,Helsinki,1911,60.1568,24.933
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20853657,2,2h + avok + s + p,1 400 € / kk,2024-01-29T12:53:44Z,59.5,Leonkatu 17 C 41,Kalasatama,Helsinki,2013,60.1851,24.9818
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20853252,2,2H+K,1 350 € / kk,2024-01-29T10:04:32Z,60,Haapaniemenkatu 11,Merihaka,Helsinki,1979,60.179,24.9598
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20853122,2,2H+K,1 239 € / kk,2024-01-29T09:31:16Z,55,Hakaniemenranta 30,Merihaka,Helsinki,1979,60.1807,24.9618
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20852423,2,2h + avok,1 450 € / kk,2024-01-28T16:54:40Z,59.5,Arkadiankatu 8 E,Etu-Töölö,Helsinki,1911,60.1711,24.9302
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20852268,3,3h + s + p,1 500 € / kk,2024-01-28T13:39:11Z,84,Laivapojankatu 3,Jätkäsaari,Helsinki,1995,60.1614,24.9201
https://asunnot.oikotie.fi/vuokra-asunnot/helsinki/20852029,2,2h + k,1 240 € / kk,2024-01-28T08:19:48Z,65,Lapinlahdenkatu 12,Kamppi,Helsinki,1927,60.1671,24.9242
